Landkreis	Bundesland	Population	Cases	Deaths	Cases_Per_Million	Deaths_Per_Million	DIVI_Intensivstationen_Covid_Prozent	DIVI_Intensivstationen_Betten_belegt_Prozent	DoublingTime_Cases_Last_Week_Per_100000
Flensburg (Kreisfreie Stadt)	Schleswig-Holstein	91113	40622	96	445841	1053	4.5	88.6	
Kiel (Kreisfreie Stadt)	Schleswig-Holstein	246243	101942	321	413989	1303	1.6	83.5	
Lübeck (Kreisfreie Stadt)	Schleswig-Holstein	216277	91229	166	421815	767	4.5	74.8	
Neumünster (Kreisfreie Stadt)	Schleswig-Holstein	79496	31310	127	393856	1597	4.3	65.2	
Dithmarschen (Kreis)	Schleswig-Holstein	133969	53548	126	399704	940	0.0	90.0	
Herzogtum Lauenburg (Kreis)	Schleswig-Holstein	200819	76058	214	378739	1065	6.2	87.5	
Nordfriesland (Kreis)	Schleswig-Holstein	167560	72076	212	430150	1265	0.0	100.0	50.7
Ostholstein (Kreis)	Schleswig-Holstein	202014	73094	138	361826	683	2.8	86.1	
Pinneberg (Kreis)	Schleswig-Holstein	318326	125035	670	392789	2104	2.7	67.6	
Plön (Kreis)	Schleswig-Holstein	129687	46845	79	361215	609	0.0	75.0	
Rendsburg-Eckernförde (Kreis)	Schleswig-Holstein	276053	111389	146	403505	528	7.3	73.2	22.2
Schleswig-Flensburg (Kreis)	Schleswig-Holstein	203799	79074	184	387999	902	0.0	91.7	15.6
Segeberg (Kreis)	Schleswig-Holstein	280400	122981	413	438591	1472	0.0	67.9	
Steinburg (Kreis)	Schleswig-Holstein	130843	52107	76	398240	580	2.3	81.4	
Stormarn (Kreis)	Schleswig-Holstein	245406	88919	468	362334	1907	0.0	73.1	
Saarbrücken (Landkreis)	Saarland	327284	150881	922	461009	2817	2.1	87.7	
Merzig-Wadern (Landkreis)	Saarland	103426	53395	186	516262	1798	0.0	66.7	
Neunkirchen (Landkreis)	Saarland	130847	64197	242	490626	1849	0.0	74.4	32.9
Saarlouis (Landkreis)	Saarland	193661	101001	303	521535	1564	0.0	69.0	
Saarpfalz-Kreis (Landkreis)	Saarland	140960	68801	221	488088	1567	1.2	79.3	
St. Wendel (Landkreis)	Saarland	86170	45545	201	528548	2332	7.1	85.7	9.5
Berlin Reinickendorf (Bezirk)	Berlin	260576	93625	457	359300	1753	3.1	89.0	
Berlin Charlottenburg-Wilmersdorf (Bezirk)	Berlin	317229	111628	476	351884	1500	3.1	89.0	
Berlin Treptow-Köpenick (Bezirk)	Berlin	273188	100952	407	369533	1489	3.1	89.0	
Berlin Pankow (Bezirk)	Berlin	404795	162909	362	402448	894	3.1	89.0	
Berlin Neukölln (Bezirk)	Berlin	320204	126696	560	395672	1748	3.1	89.0	
Berlin Lichtenberg (Bezirk)	Berlin	293139	111878	402	381655	1371	3.1	89.0	
Berlin Marzahn-Hellersdorf (Bezirk)	Berlin	274853	101344	431	368720	1568	3.1	89.0	
Berlin Spandau (Bezirk)	Berlin	240542	92760	384	385629	1596	3.1	89.0	
Berlin Steglitz-Zehlendorf (Bezirk)	Berlin	292255	105741	611	361810	2090	3.1	89.0	22.0
Berlin Mitte (Bezirk)	Berlin	377735	157028	424	415709	1122	3.1	89.0	
Berlin Friedrichshain-Kreuzberg (Bezirk)	Berlin	280671	121580	233	433176	830	3.1	89.0	
Berlin Tempelhof-Schöneberg (Bezirk)	Berlin	342285	130682	677	381792	1977	3.1	89.0	
Brandenburg an der Havel (Kreisfreie Stadt)	Brandenburg	72461	28644	203	395302	2801	1.5	86.2	
Cottbus (Kreisfreie Stadt)	Brandenburg	98359	50416	338	512571	3436	2.4	85.9	
Frankfurt (Oder) (Kreisfreie Stadt)	Brandenburg	56679	27345	222	482453	3916	0.0	83.3	
Potsdam (Kreisfreie Stadt)	Brandenburg	183154	78894	286	430752	1561	0.0	71.0	
Barnim (Landkreis)	Brandenburg	188835	68751	397	364079	2102	5.0	100.0	
Dahme-Spreewald (Landkreis)	Brandenburg	175834	79371	439	451397	2496	0.0	68.4	24.4
Elbe-Elster (Landkreis)	Brandenburg	100317	49964	442	498061	4406	0.0	55.6	
Havelland (Landkreis)	Brandenburg	165906	62645	341	377593	2055	4.0	60.0	30.4
Märkisch-Oderland (Landkreis)	Brandenburg	197965	81035	444	409340	2242	4.3	82.6	
Oberhavel (Landkreis)	Brandenburg	215795	88240	491	408906	2275	2.5	72.5	14.0
Oberspreewald-Lausitz (Landkreis)	Brandenburg	107558	52502	426	488127	3960	0.0	92.9	
Oder-Spree (Landkreis)	Brandenburg	179245	82079	525	457915	2928	5.4	51.4	41.4
Ostprignitz-Ruppin (Landkreis)	Brandenburg	98829	40469	247	409485	2499	0.0	82.2	
Potsdam-Mittelmark (Landkreis)	Brandenburg	219521	95967	338	437165	1539	4.5	87.9	
Prignitz (Landkreis)	Brandenburg	75574	36012	256	476513	3387	0.0	64.3	
Spree-Neiße (Landkreis)	Brandenburg	111955	56263	353	502550	3153	5.0	60.0	
Teltow-Fläming (Landkreis)	Brandenburg	172545	76392	385	442736	2231	7.1	71.4	
Uckermark (Landkreis)	Brandenburg	117336	47952	292	408672	2488	0.0	73.5	
Rostock (Kreisfreie Stadt)	Mecklenburg-Vorpommern	208400	93747	186	449841	892	1.8	83.9	
Schwerin (Kreisfreie Stadt)	Mecklenburg-Vorpommern	95740	44188	214	461541	2235	1.5	85.3	
Mecklenburgische Seenplatte (Landkreis)	Mecklenburg-Vorpommern	257525	93283	318	362228	1234	1.2	83.1	
Rostock (Landkreis)	Mecklenburg-Vorpommern	217796	98722	367	453277	1685	0.0	69.2	
Vorpommern-Rügen (Landkreis)	Mecklenburg-Vorpommern	225900	96029	324	425095	1434	1.7	72.9	
Nordwestmecklenburg (Landkreis)	Mecklenburg-Vorpommern	158449	75463	196	476260	1236	5.9	64.7	
Vorpommern-Greifswald (Landkreis)	Mecklenburg-Vorpommern	235451	105777	580	449252	2463	2.0	85.9	
Ludwigslust-Parchim (Landkreis)	Mecklenburg-Vorpommern	211899	98592	547	465278	2581	5.8	88.4	
Chemnitz (Kreisfreie Stadt)	Sachsen	243105	107232	905	441093	3722	2.4	92.4	
Erzgebirgskreis (Landkreis)	Sachsen	328695	161071	1823	490031	5546	1.1	63.2	7.6
Mittelsachsen (Landkreis)	Sachsen	299329	140423	1064	469125	3554	2.1	83.0	
Vogtlandkreis (Landkreis)	Sachsen	221376	109107	1382	492858	6242	0.0	72.9	
Zwickau (Landkreis)	Sachsen	309621	144911	1631	468027	5267	0.0	73.6	
Dresden (Kreisfreie Stadt)	Sachsen	555351	279589	1886	503445	3396	2.8	86.2	
Bautzen (Landkreis)	Sachsen	296290	153886	1523	519376	5140	1.5	78.8	
Görlitz (Landkreis)	Sachsen	248273	110533	1736	445207	6992	4.8	77.4	
Meißen (Landkreis)	Sachsen	239344	118308	1045	494301	4366	1.6	87.5	
Sächsische Schweiz-Osterzgebirge (Landkreis)	Sachsen	244009	124683	1552	510977	6360	5.5	80.0	
Leipzig (Kreisfreie Stadt)	Sachsen	601866	276072	889	458693	1477	1.6	81.8	59.2
Leipzig (Landkreis)	Sachsen	258214	127418	581	493458	2250	5.2	75.9	54.3
Nordsachsen (Landkreis)	Sachsen	197529	89779	714	454510	3614	0.0	74.1	
Dessau-Roßlau (Kreisfreie Stadt)	Sachsen-Anhalt	78731	34066	232	432688	2946	7.5	85.0	
Halle (Saale) (Kreisfreie Stadt)	Sachsen-Anhalt	238061	107360	694	450976	2915	1.2	88.5	25.6
Magdeburg (Kreisfreie Stadt)	Sachsen-Anhalt	236188	87727	352	371428	1490	0.5	91.0	30.2
Altmarkkreis Salzwedel (Landkreis)	Sachsen-Anhalt	81986	38207	171	466018	2085	5.0	60.0	
Anhalt-Bitterfeld (Landkreis)	Sachsen-Anhalt	155900	70140	463	449903	2969	0.0	60.0	
Börde (Landkreis)	Sachsen-Anhalt	170106	75390	236	443194	1387	0.0	85.7	26.1
Burgenlandkreis (Landkreis)	Sachsen-Anhalt	176333	85100	995	482609	5642	6.7	83.3	
Harz (Landkreis)	Sachsen-Anhalt	209117	92067	588	440265	2811	0.0	78.0	
Jerichower Land (Landkreis)	Sachsen-Anhalt	89118	39124	241	439013	2704	8.7	95.7	
Mansfeld-Südharz (Landkreis)	Sachsen-Anhalt	132317	62053	389	468972	2939	5.0	75.0	
Saalekreis (Landkreis)	Sachsen-Anhalt	182814	87791	642	480220	3511	0.0	72.7	
Salzlandkreis (Landkreis)	Sachsen-Anhalt	185495	76814	451	414102	2431	6.2	93.8	
Stendal (Landkreis)	Sachsen-Anhalt	109746	45339	314	413126	2861	0.0	57.1	
Wittenberg (Landkreis)	Sachsen-Anhalt	123341	51673	454	418944	3680	3.3	86.7	
Erfurt (Kreisfreie Stadt)	Thüringen	213227	80116	614	375731	2879	0.0	64.3	
Gera (Kreisfreie Stadt)	Thüringen	91368	36680	409	401453	4476	0.0	85.7	
Jena (Kreisfreie Stadt)	Thüringen	110502	46904	181	424462	1637	0.9	89.7	
Suhl (Kreisfreie Stadt)	Thüringen	36054	12830	209	355855	5796	0.0	25.0	
Weimar (Kreisfreie Stadt)	Thüringen	65138	27350	193	419877	2962	0.0	71.4	
Eichsfeld (Landkreis)	Thüringen	99324	46773	384	470913	3866	4.5	72.7	
Nordhausen (Landkreis)	Thüringen	81687	28925	111	354095	1358	1.7	62.7	
Wartburgkreis (Landkreis)	Thüringen	158900	64226	468	404191	2945	2.3	82.6	
Unstrut-Hainich-Kreis (Landkreis)	Thüringen	101269	43810	448	432610	4423	0.0	70.6	
Kyffhäuserkreis (Landkreis)	Thüringen	72964	26825	272	367647	3727	0.0	66.7	
Schmalkalden-Meiningen (Landkreis)	Thüringen	123404	56533	757	458113	6134	9.5	73.8	
Gotha (Landkreis)	Thüringen	133825	52706	378	393842	2824	0.0	26.7	
Sömmerda (Landkreis)	Thüringen	68717	27592	269	401530	3914	0.0	66.7	
Hildburghausen (Landkreis)	Thüringen	62089	28141	443	453236	7134	0.0	62.5	
Ilm-Kreis (Landkreis)	Thüringen	105367	48293	455	458331	4318	0.0	94.1	
Weimarer Land (Landkreis)	Thüringen	82103	32465	150	395417	1826	1.3	92.1	
