Country	Date	Population	Cases	Deaths	Cases_Per_Million	Deaths_Per_Million
Austria	2023-01-12	8902600	5736630	21546	648423	2435
Belgium	2023-01-12	11515793	4686147	33478	410271	2930
Canada	2023-01-12	37894799	4536469	49948	122412	1347
Czechia	2023-01-12	10649800	4584328	42235	431437	3974
Denmark	2023-01-12	5822763	3442972	8020	593877	1383
Finland	2023-01-12	5521158	1448656	8431	262530	1527
France	2023-01-12	67022000	39640595	164287	591763	2452
Germany	2023-01-12	83149300	37594526	163625	453339	1973
Greece	2023-01-12	10768477	5548487	34779	517212	3241
Hungary	2023-01-12	9772756	2190334	48578	224217	4972
Iran	2023-01-12	83183741	7562371	144722	92449	1769
Italy	2023-01-12	60317546	25279682	185417	418321	3068
Japan	2023-01-12	126150000	31054346	61289	245432	484
Netherlands	2023-01-12	17424978	8689092	23700	504270	1375
Portugal	2023-01-12	10276617	5557941	25805	540563	2509
South Korea	2023-01-12	51709098	29737769	32867	575919	636
Spain	2023-01-12	46733038	13693478	117413	293073	2512
Sweden	2023-01-12	10333456	2687840	22645	263949	2223
Switzerland	2023-01-12	8570146	4404980	14201	517226	1667
Turkey	2023-01-12	83154997	17042722	101492	207030	1232
United Kingdom	2023-01-12	67545757	24475530	215636	368114	3243
United States	2023-01-12	328239523	101603695	1099488	310555	3360
